record_id,date,region,channel,contacts,resolved_contacts,escalations,aht_seconds,csat_score,source_file
OPS-0001,2026-02-01,North_America,chat,298,249,8,367,3.21,synthetic_batch_1.csv
OPS-0002,2026-02-02,LATAM,voice,429,340,29,716,3.62,synthetic_batch_1.csv
OPS-0003,2026-02-03,EU,email,424,390,15,468,4.01,synthetic_batch_1.csv
OPS-0004,2026-02-04,North_America,chat,620,472,15,541,4.19,synthetic_batch_1.csv
OPS-0005,2026-02-05,LATAM,voice,526,424,33,320,4.78,synthetic_batch_1.csv
OPS-0006,2026-02-06,EU,email,326,287,12,517,3.7,synthetic_batch_1.csv
OPS-0007,2026-02-07,North_America,chat,506,469,17,369,4.59,synthetic_batch_1.csv
OPS-0008,2026-02-08,LATAM,voice,498,349,56,386,3.32,synthetic_batch_1.csv
OPS-0009,2026-02-09,EU,email,455,380,12,672,4.74,synthetic_batch_1.csv
OPS-0010,2026-02-10,North_America,chat,686,599,30,627,4.74,synthetic_batch_1.csv
OPS-0011,2026-02-11,LATAM,voice,415,308,34,494,3.35,synthetic_batch_1.csv
OPS-0012,2026-02-12,EU,email,526,381,29,539,4.17,synthetic_batch_1.csv
OPS-0013,2026-02-13,North_America,chat,497,376,47,636,3.85,synthetic_batch_1.csv
OPS-0014,2026-02-14,LATAM,voice,250,183,21,499,3.47,synthetic_batch_1.csv
OPS-0015,2026-02-15,EU,email,480,383,46,439,4.36,synthetic_batch_1.csv
OPS-0016,2026-02-16,North_America,chat,624,543,23,553,4.72,synthetic_batch_1.csv
OPS-0017,2026-02-17,LATAM,voice,583,409,84,645,4.02,synthetic_batch_1.csv
OPS-0018,2026-02-18,EU,email,404,376,12,711,3.37,synthetic_batch_1.csv
OPS-0019,2026-02-19,North_America,chat,440,326,31,329,3.77,synthetic_batch_1.csv
OPS-0020,2026-02-20,LATAM,voice,393,297,17,422,4.6,synthetic_batch_1.csv
OPS-0021,2026-02-21,EU,email,311,268,13,392,3.16,synthetic_batch_1.csv
OPS-0022,2026-02-22,North_America,chat,412,298,34,358,4.81,synthetic_batch_1.csv
OPS-0023,2026-02-23,LATAM,voice,415,307,31,577,3.73,synthetic_batch_1.csv
OPS-0024,2026-02-24,EU,email,666,589,21,685,4.06,synthetic_batch_1.csv
OPS-0025,2026-02-25,North_America,chat,132,97,14,591,4.47,synthetic_batch_1.csv
OPS-0026,2026-02-26,LATAM,voice,292,260,15,380,4.45,synthetic_batch_1.csv
OPS-0027,2026-02-27,EU,email,440,329,20,530,3.17,synthetic_batch_1.csv
OPS-0028,2026-02-28,North_America,chat,267,245,10,710,4.64,synthetic_batch_1.csv
OPS-0029,2026-03-01,LATAM,voice,462,370,31,647,4.53,synthetic_batch_1.csv
OPS-0030,2026-03-02,EU,email,454,321,42,410,4.15,synthetic_batch_1.csv
OPS-0031,2026-03-03,North_America,chat,332,258,35,438,4.66,synthetic_batch_1.csv
OPS-0032,2026-03-04,LATAM,voice,350,253,15,522,4.09,synthetic_batch_1.csv
OPS-0033,2026-03-05,EU,email,177,161,6,593,4.23,synthetic_batch_1.csv
OPS-0034,2026-03-06,North_America,chat,315,259,20,543,3.32,synthetic_batch_1.csv
OPS-0035,2026-03-07,LATAM,voice,655,613,5,626,4.35,synthetic_batch_1.csv
OPS-0036,2026-03-08,EU,email,256,218,18,320,3.38,synthetic_batch_1.csv
OPS-0037,2026-03-09,North_America,chat,466,397,24,666,4.68,synthetic_batch_1.csv
OPS-0038,2026-03-10,LATAM,voice,662,619,6,486,4.26,synthetic_batch_1.csv
OPS-0039,2026-03-11,EU,email,614,527,39,625,3.61,synthetic_batch_1.csv
OPS-0040,2026-03-12,North_America,chat,241,224,7,680,4.74,synthetic_batch_1.csv
OPS-0041,2026-03-13,LATAM,voice,481,390,39,444,4.12,synthetic_batch_1.csv
OPS-0042,2026-03-14,EU,email,376,330,20,526,4.54,synthetic_batch_1.csv
OPS-0043,2026-03-15,North_America,chat,609,503,39,691,3.35,synthetic_batch_1.csv
OPS-0044,2026-03-16,LATAM,voice,149,120,8,547,4.3,synthetic_batch_1.csv
OPS-0045,2026-03-17,EU,email,496,436,27,659,3.59,synthetic_batch_1.csv
OPS-0046,2026-03-18,North_America,chat,123,104,8,689,3.51,synthetic_batch_1.csv
OPS-0047,2026-03-19,LATAM,voice,626,501,30,596,4.76,synthetic_batch_1.csv
OPS-0048,2026-03-20,EU,email,561,460,25,604,3.71,synthetic_batch_1.csv
OPS-0049,2026-03-21,North_America,chat,139,115,6,402,4.41,synthetic_batch_1.csv
OPS-0050,2026-03-22,LATAM,voice,703,641,23,546,3.64,synthetic_batch_1.csv
OPS-0051,2026-03-23,EU,email,420,297,56,584,4.62,synthetic_batch_1.csv
OPS-0052,2026-03-24,North_America,chat,222,186,13,595,3.42,synthetic_batch_1.csv
OPS-0053,2026-03-25,LATAM,voice,636,583,15,380,3.92,synthetic_batch_1.csv
OPS-0054,2026-03-26,EU,email,232,200,4,448,3.79,synthetic_batch_1.csv
OPS-0055,2026-03-27,North_America,chat,343,271,10,635,4.18,synthetic_batch_1.csv
OPS-0056,2026-03-28,LATAM,voice,285,249,3,558,4.2,synthetic_batch_1.csv
OPS-0057,2026-03-29,EU,email,511,465,11,713,4.19,synthetic_batch_1.csv
OPS-0058,2026-03-30,North_America,chat,676,476,69,688,4.01,synthetic_batch_1.csv
OPS-0059,2026-03-31,LATAM,voice,298,222,34,427,4.23,synthetic_batch_1.csv
OPS-0060,2026-04-01,EU,email,586,489,22,702,4.84,synthetic_batch_1.csv
